id,type,subtype,price,transactionType,zip,visualisationOption,atticExists,basementExists,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Number_of_frontages,Living_area,Furnished,url
1838035,apartment,flat studio,52934,for sale,07218,m,,,usa installed,2008,,,,1,,,true,,true,,,false,4,50,Yes,"https://www.immoweb.be/en/classified/apartment/for-sale/borovets/07218/1838035
"
1838036,apartment,apartment,51000,for sale,08240,m,,,installed,2008,,,,1,,,true,,true,,,false,4,50,Yes,"https://www.immoweb.be/en/classified/apartment/for-sale/sunny-beach/08240/1838036
"
1838641,apartment,apartment,73000,for sale,08250,m,,,,2008,as new,,,1,,,,,,,,false,,,,"https://www.immoweb.be/en/classified/apartment/for-sale/obzor/08250/1838641
"
1838642,apartment,apartment,69000,for sale,08224,m,,,,2008,good,,,1,,,,,,,,false,,,,"https://www.immoweb.be/en/classified/apartment/for-sale/kosharitsa/08224/1838642
"
1839112,apartment,apartment,57000,for sale,08240,m,,,installed,2008,as new,,,1,,,true,,true,,,false,4,,,"https://www.immoweb.be/en/classified/apartment/for-sale/sunny-beach/08240/1839112
"
1839193,apartment,apartment,93218,for sale,09101,m,,,installed,2008,as new,,,1,,,,,,,,false,,,,"https://www.immoweb.be/en/classified/apartment/for-sale/byala/09101/1839193
"
1840625,apartment,apartment,285000,for sale,09600,m,,,installed,2008,good,,,3,,,true,,,,,false,4,,Yes,"https://www.immoweb.be/en/classified/apartment/for-sale/balchik/09600/1840625
"
1840646,house,villa,285000,for sale,09600,m,,,installed,2008,good,,,3,0,,,true,,,,false,4,,Yes,"https://www.immoweb.be/en/classified/house/for-sale/balchik/09600/1840646
"
1840818,house,exceptional property,73000,for sale,08250,m,,,,2008,good,,,1,0,,,,,,,false,,,,"https://www.immoweb.be/en/classified/house/for-sale/obzor/08250/1840818
"
1882546,house,house,97410,for sale,8420,m,,,usa installed,2016,as new,gas,,2,155,110,true,,,,2,false,4,45,No,"https://www.immoweb.be/en/classified/house/for-sale/wenduine/8420/1882546
"
2070520,house,villa,no price,for sale,2950,l,,,,2009,good,gas,,4,2400,,,true,,2,,false,4,650,No,"https://www.immoweb.be/en/classified/house/for-sale/kapellen/2950/2070520
"
2083530,house,villa,725000,for sale,03042,xl,,true,,1990,,,,7,2129,,true,,true,2,,false,,,No,"https://www.immoweb.be/en/classified/house/for-sale/atina/03042/2083530
"
2335739,apartment,apartment,184000,for sale,5000,m,,true,installed,,good,gas,,2,,,,,,,,false,2,86,No,"https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/2335739
"
2573581,apartment,flat studio,no price,for sale,2440,l,,,,2010,,,,0,,,,,,,,false,,,Yes,"https://www.immoweb.be/en/classified/apartment/for-sale/geel/2440/2573581
"
2573644,apartment,apartment,no price,for sale,3980,l,,,,2009,,,,2,,,,true,,1,,false,,111,,"https://www.immoweb.be/en/classified/apartment/for-sale/tessenderlo/3980/2573644
"
2784938,house,house,101900,for sale,8301,m,,,installed,2018,as new,gas,,2,170,120,true,,,,2,false,4,51,No,"https://www.immoweb.be/en/classified/house/for-sale/heist-aan-zee/8301/2784938
"
3303247,house,villa,no price,for sale,2970,l,,,,2012,,,,5,2532,,true,true,,2,4,false,4,620,No,"https://www.immoweb.be/en/classified/house/for-sale/s-gravenwezel/2970/3303247
"
